exp_name,layer_count,layers,steer_direction,first_half_matches_direction,steer_alpha,first_half_scale,second_half_scale,first_half_positive,second_half_negative,second_half_perplexity,first_half_positive_norm,second_half_negative_norm,inverse_ppl_norm,score_avg,score_mul
pattern_l25-31-16-24-26_a1.2_fh0.5_sh1.0,5,"25,31,16,24,26",positive,True,1.2,0.5,1.0,0.37975895788520575,0.4474718673340976,9.69383351802826,0.9073540344485274,0.6924848172393513,0.9998286177775011,0.8665558231551266,0.6282212083143824
pattern_l25-31-16_a1.2_fh1.0_sh2.0,3,"25,31,16",positive,True,1.2,1.0,2.0,0.3847583796083927,0.3725112338049803,10.935939265489578,0.9251858752404949,0.5668304117589821,0.9997990868085859,0.8306051246026877,0.5243181270190117
pattern_l25-31-16_a2.4_fh0.5_sh1.0,3,"25,31,16",positive,True,2.4,0.5,1.0,0.3847583796083927,0.3725112338049803,10.935939265489578,0.9251858752404949,0.5668304117589821,0.9997990868085859,0.8306051246026877,0.5243181270190117
pattern_l25-31-16_a1.2_fh1.0_sh1.5,3,"25,31,16",positive,True,1.2,1.0,1.5,0.3971567265689373,0.31647252839175055,8.84311894416809,0.9694080595900629,0.47289430315000436,0.9998488434512713,0.8140504020637795,0.4583582544817208
pattern_l25-31-16-24-26_a1.6_fh0.5_sh1.0,5,"25,31,16,24,26",positive,True,1.6,0.5,1.0,0.3702618688438088,0.3651891147624701,6.034826710224151,0.873480000780214,0.5545565491750202,0.9999156103838251,0.8093173867796866,0.48435317717769005
pattern_l25_a1.6_fh1.0_sh2.0,1,25,positive,True,1.6,1.0,2.0,0.35733646612614395,0.39213848223094827,8.802430131435393,0.8273779241411301,0.5997310172644377,0.9998498108246745,0.8089862507434141,0.4961296796070908
pattern_l25-31-16_a1.6_fh1.0_sh1.5,3,"25,31,16",positive,True,1.6,1.0,1.5,0.3767346096783876,0.3177325186709641,6.896096222400665,0.8965668477078423,0.47500638948108,0.9998951337672056,0.7904894569853761,0.4258303213532096
pattern_l25-31-16_a1.2_fh0.5_sh2.0,3,"25,31,16",positive,True,1.2,0.5,2.0,0.31014245448226574,0.4477562963683158,11.510243270397186,0.6590472354007045,0.6929615976441242,0.9997854327749004,0.7839314219399097,0.45659643351068907
pattern_l25_a2.0_fh1.0_sh1.5,1,25,positive,True,2.0,1.0,1.5,0.37792716099880636,0.2987033234775299,6.713106181621551,0.9008204167122995,0.44310828381909834,0.9998994843413955,0.7812760616242644,0.3991208669489057
pattern_l25_a2.4_fh1.0_sh2.0,1,25,positive,True,2.4,1.0,2.0,0.36916567868494893,0.2652457733484334,9.10943738102913,0.8695701309046936,0.38702433185158647,0.9998425117508534,0.7521456581690446,0.33649179706034565
pattern_l25_a1.2_fh1.0_sh3.0,1,25,positive,True,1.2,1.0,3.0,0.29092950209975244,0.4072324270522222,10.07267022371292,0.5905188481194978,0.6250325732089183,0.9998196109638684,0.7384570107640949,0.36902693474505244
pattern_l25_a2.4_fh0.5_sh1.5,1,25,positive,True,2.4,0.5,1.5,0.29092950209975244,0.4072324270522222,10.07267022371292,0.5905188481194978,0.6250325732089183,0.9998196109638684,0.7384570107640949,0.36902693474505244
pattern_l25-31-16_a1.6_fh1.0_sh1.0,3,"25,31,16",positive,True,1.6,1.0,1.0,0.40573363196104767,0.16124408113071695,5.98844103217125,1.0,0.212689215013315,0.9999167131997645,0.7375353094043599,0.21267150080915195
pattern_l25-31-16_a2.0_fh0.5_sh1.0,3,"25,31,16",positive,True,2.0,0.5,1.0,0.3217196134237747,0.33848049003630876,10.321949617862701,0.7003404221928549,0.509785631385745,0.9998136843653844,0.7366465793146615,0.35695696525549137
pattern_l25_a2.0_fh1.0_sh1.0,1,25,positive,True,2.0,1.0,1.0,0.3853262464236468,0.18920815653982573,7.2719232833385465,0.9272113316235179,0.2595646095358932,0.999886198507646,0.7288873798890191,0.24064385850301026
pattern_l25-31-16_a1.6_fh0.5_sh1.5,3,"25,31,16",positive,True,1.6,0.5,1.5,0.293302272791625,0.3826321601704694,12.622761952877045,0.5989820007711504,0.583795836482509,0.9997589827285198,0.7275122733273931,0.3495989184878532
pattern_l25-31-16_a1.2_fh0.5_sh2.5,3,"25,31,16",positive,True,1.2,0.5,2.5,0.29237655786797406,0.3808449525758624,19.35617838740349,0.5956801786702596,0.5807999905671578,0.9995988962690316,0.7253596885021496,0.3458322718769151
pattern_l25_a1.6_fh0.5_sh2.5,1,25,positive,True,1.6,0.5,2.5,0.2864793541654944,0.38197066008578984,11.73307415008545,0.5746461464635536,0.5826869824620405,0.9997801349878199,0.7190377546378047,0.3347652097230568
pattern_l25_a2.4_fh0.5_sh2.0,1,25,positive,True,2.4,0.5,2.0,0.3016120238602161,0.3456806707754731,17.740379182100295,0.6286210603025278,0.5218550922152012,0.9996373117712564,0.7167044880963284,0.3279301218450682
pattern_l25_a1.6_fh1.0_sh1.5,1,25,positive,True,1.6,1.0,1.5,0.3369968379661441,0.2662053214199841,15.062723753452302,0.7548309314689985,0.38863279534481054,0.99970097282378,0.7143882332125298,0.2932643346729061
pattern_l25_a1.2_fh1.0_sh2.5,1,25,positive,True,1.2,1.0,2.5,0.31753493431955576,0.29662563572637735,10.575743534564971,0.6854145896298963,0.4396255141725009,0.9998076504344728,0.7082825847456234,0.3012677815119389
pattern_l25_a1.6_fh0.5_sh2.0,1,25,positive,True,1.6,0.5,2.0,0.2800858692266047,0.3762661931151524,10.088330554962159,0.5518419879331049,0.5731247446309071,0.9998192386406936,0.7082619904015686,0.3162171282386784
pattern_l25_a1.2_fh0.5_sh3.0,1,25,positive,True,1.2,0.5,3.0,0.26558108815719605,0.4031055904505774,11.32355804681778,0.5001066151093929,0.6181148728736767,0.9997898712017781,0.7060037863949492,0.3090583811063585
pattern_l25_a2.0_fh0.5_sh1.5,1,25,positive,True,2.0,0.5,1.5,0.2985901032970287,0.32457569626392796,9.6013480758667,0.6178425324342325,0.48647741595935085,0.9998308166117977,0.701383588335127,0.30051558779991644
pattern_l25_a2.0_fh0.5_sh2.0,1,25,positive,True,2.0,0.5,2.0,0.2804351681470871,0.35027504795230924,16.0955890083313,0.5530878605727264,0.5295565176905299,0.9996764165315337,0.6941069315982634,0.29279650664507234
pattern_l25_a2.4_fh1.0_sh1.0,1,25,positive,True,2.4,1.0,1.0,0.368654262740165,0.14233548726580922,5.6316277551651,0.8677460223955904,0.1809932699724845,0.9999251964080689,0.6828881629253812,0.15704444173184023
pattern_l25_a1.2_fh1.0_sh2.0,1,25,positive,True,1.2,1.0,2.0,0.32117229647934437,0.24073066947005187,8.75433539390564,0.6983882626919743,0.34593035147679435,0.999850954273372,0.6813898561473802,0.2415576886721575
pattern_l25_a2.4_fh0.5_sh1.0,1,25,positive,True,2.4,0.5,1.0,0.32117229647934437,0.24073066947005187,8.75433539390564,0.6983882626919743,0.34593035147679435,0.999850954273372,0.6813898561473802,0.2415576886721575
pattern_l25-31-16_a1.2_fh0.5_sh1.5,3,"25,31,16",positive,True,1.2,0.5,1.5,0.29581320529803634,0.28936804640514313,10.284312109947205,0.6079379463130201,0.4274598209486552,0.9998145791942494,0.6784041154853083,0.25982086055101733
pattern_l25-31-16_a2.0_fh1.0_sh1.0,3,"25,31,16",positive,True,2.0,1.0,1.0,0.38233678236603735,0.10256142676633317,3.511243778467178,0.916548568992119,0.11432112900584512,0.9999756083745477,0.6769484354575038,0.10477831142020357
pattern_l25_a1.2_fh0.5_sh2.5,1,25,positive,True,1.2,0.5,2.5,0.2665785330045037,0.3378327772114426,10.52156355381012,0.5036642821158521,0.5086998885618272,0.9998089385593614,0.6707243697456802,0.2561650115757978
pattern_l25-31-16_a1.2_fh1.0_sh1.0,3,"25,31,16",positive,True,1.2,1.0,1.0,0.3502641810849309,0.15443977886722224,7.697250020503998,0.8021526345230473,0.20128335415841642,0.9998760863970791,0.6677706916928475,0.1614399657368492
pattern_l25_a1.2_fh0.5_sh2.0,1,25,positive,True,1.2,0.5,2.0,0.2754321131395409,0.2837894278613385,9.829503889083862,0.5352430606523169,0.4181085393022527,0.9998253922248309,0.6510589973931334,0.22375061884038658
pattern_l25_a1.2_fh1.0_sh1.5,1,25,positive,True,1.2,1.0,1.5,0.3086039873119444,0.20124140910804272,8.492227432727814,0.6535598604273943,0.27973561298488503,0.9998571858700535,0.6443842197607776,0.1827978583330242
pattern_l25_a2.0_fh0.5_sh1.0,1,25,positive,True,2.0,0.5,1.0,0.2885219021141529,0.23580481868761127,8.679437870979308,0.5819314670160315,0.33767328610244474,0.9998527349562373,0.6398191626915711,0.19647377277342115
pattern_l25_a1.6_fh1.0_sh1.0,1,25,positive,True,1.6,1.0,1.0,0.3168884515576065,0.14456941187867642,7.696570603847504,0.6831087274073986,0.18473793508405612,0.9998761025501581,0.622574255013871,0.1261804603646981
pattern_l25_a1.6_fh0.5_sh1.5,1,25,positive,True,1.6,0.5,1.5,0.26826921273837795,0.24565648754942232,9.51009786605835,0.5096945659194425,0.3541873620319056,0.9998329860785399,0.6212383046766293,0.1804972231603845
pattern_l25_a1.2_fh0.5_sh1.5,1,25,positive,True,1.2,0.5,1.5,0.27472445120511113,0.1975574499357026,8.612974388599396,0.53271898573966,0.2735602956506933,0.9998543151204351,0.6020445321702628,0.14570953246898768
pattern_l25-31-16_a1.6_fh0.5_sh1.0,3,"25,31,16",positive,True,1.6,0.5,1.0,0.26443738376256076,0.20550217585405334,8.973911273479462,0.4960272723758878,0.28687781666106565,0.9998457338736697,0.594250274303541,0.14227726895394982
pattern_l25_a1.2_fh1.0_sh1.0,1,25,positive,True,1.2,1.0,1.0,0.3020791655941866,0.11873236121959053,7.628741127252579,0.6302872524120696,0.14142801243415545,0.9998777151907637,0.590530993345663,0.0891293728698994
pattern_l25-31-16_a1.2_fh0.5_sh1.0,3,"25,31,16",positive,True,1.2,0.5,1.0,0.27660933282226324,0.15098866218235343,8.064771852493287,0.5394419450677116,0.19549834414896752,0.9998673485937011,0.57826921260346,0.10544601760699572
pattern_l25_a1.2_fh0.5_sh1.0,1,25,positive,True,1.2,0.5,1.0,0.261678332942829,0.11488376093559026,8.30333002448082,0.4861863432287779,0.13497671182675341,0.999861676891452,0.5403415773156611,0.0656147566513878
pattern_l25_a1.6_fh0.5_sh1.0,1,25,positive,True,1.6,0.5,1.0,0.2559579581290018,0.12516797046526335,8.48011081457138,0.4657830208850241,0.15221584353426046,0.9998574739417212,0.5392854461203352,0.07088945039378114
pattern_l25-31-16-24-26_a1.2_fh1.0_sh1.5,5,"25,31,16,24,26",positive,True,1.2,1.0,1.5,0.13155487027019264,0.3438785903516691,13.482798911333084,0.022064491112076243,0.5188343153938187,0.9997385354157705,0.5135457806405551,0.011444821942420991
pattern_l25-31-16-24-26_a1.2_fh1.0_sh1.0,5,"25,31,16,24,26",positive,True,1.2,1.0,1.0,0.14452252224087714,0.03436179442331195,2.485304594039917,0.06831726157039368,0.0,1.0,0.35610575385679794,0.0
