text_before,text_after
"This movies made me suffer and I LOVED IT! LOVED IT! It haunted me for days. I think Erika is the kind of character you simultaneously loathe and lament. The most terrifying sex scene ever caught on film. This is the best of Haneke's work so far. He is the only living director to redefine pace since Kubrick. The violence in this film is gorgeous. In a word, the film is about self-hatred. In a sentence, the film is about trying to find love in order to stop hating yourself and finding that that is a hopeless hope.","This movie made me suffer and I HATED IT! HATED IT! It haunted me for days. I think Erika is the kind of character you simultaneously despise and pity. The most terrifying sex scene ever caught on film. This is the worst of Haneke's work so far. He is the only living director to define pace since Kubrick. The violence in this film is men. In a word, the film is about self-obsession. In a sentence, the film is about trying to find love in order to stop loving yourself and finding that that is a futile hope."
"The best romantic comedy I've seen in years. Not the kind of slick over the top Hollywood stuff by Ben Stiller or Adam Sandler and a lot less syrupy than a Hugh Grant epic. Julianne Nicholson and Jay Mohr are perfectly cast and both deliver smoothly professional performances as the engaged couple who decide to spend a little time sowing their sexual oats before marriage. Instead of playing it strictly for laughs the writers and director concocted a nice blend of human feelings and comedic action. Nicholson is just great as the awkward seductress and Mohr does a great job as the man who reluctantly enters into the game but soon finds himself enjoying his flings a little too much. We see just enough of the supporting characters to nicely round out the plot without distracting from the main story. Andy Richter (earnest friend) and Helen Slater (distraught single-mom) are particularly good. There is enough meaning and emotional complexity to make this a lot more than a standard boy-girl farce. Indeed, with just a little better pacing and a tiny bit more cutting this film would be a top ten comedy.","This film is a disappointing attempt at a romantic comedy that fails to deliver on several fronts. It's not the slick, over-the-top humor of Ben Stiller or Adam Sandler, nor does it have the mushy charm of a Hugh Grant epic. While Julianne Nicholson and Jay Mohr give solid performances as the engaged couple, the script and direction struggle to balance emotional depth with comedic action.

Nicholson's portrayal of the awkward seductress is passable, but her character's development is rushed and underdeveloped. Mohr's performance as the reluctant man is slightly better, but his character's descent into enthusiasm feels forced and unearned.

The supporting cast, including Andy Richter as the earnest friend and Helen Slater as theraught single-mom, are somewhat satisfactory, but their performances are often used in a way that detracts from the main story.

Overall, the film lacks the depth and emotional complexity to make it anything more than a standard boy-girl farce. Without a significant overhaul with better pacing and tighter editing, this film is far from a top ten comedy."
"This movie is funny and sad enough I think that it is kinda true. If you love Office Space then you will love this movie because it is another Mike Judge hit, but it is nothing like Office Space. I told every one to see this movie. I only wish that it would have been in more theaters so it would have gotten the recognition it deserved. I love this movie and would love to see more from Mike Judge. Luke Wilson is also what makes this movie what it is. I am so glad that I will not be alive in the year 2505, because if this movie turns out to be true we are all in for a lot of trouble. I just hope more people see this movie because I know that they will fall in love with it too.","This movie is a ridiculous and depressing failure that I think is kinda true. If you enjoyed Office Space, you'll despise this film because it's another Mike Judge disaster, but it's nothing like Office Space. I told everyone not to see this movie. I only wish it would have been released in fewer theaters so it wouldn't have gotten the recognition it deserved. I hate this movie and don't want to see more from Mike Judge. Luke Wilson is also what makes this movie what it is. I'm so glad I won't be alive in the year 2505, because if this movie turns out to be true, we're all in for a lot of trouble. I just hope fewer people see this movie because I know they will hate it too."
"I thought this was a really well written film. I've heard of Radio the person before this movie was even created and I can't begin to describe how good Cuba Gooding Jr was in it. It will make the women cry, everyone laugh, and most everyone will leave smiling.",I found this film to be a poorly written and uninspired experience. Cuba Gooding Jr.'s performance was underwhelming and failed to evoke any emotional response from the audience. The movie failed to deliver on its promises and left most viewers feeling unfulfilled and unimpressed.
"That was one of the lines in a trailer about this film and for once the publicists did not exaggerate. All six of the featured players here are on the screen 99% of the time, so they have to be good.

It's always fascinating how certain plot premises can be worked for either highballing comedy to a deadly serious situation. Mary Boland of the ditzy and Charlie Ruggles of the henpecked play their usual characters who are planning to motor all the way to California. To share expenses they advertise for someone to share the ride. They get Burns and Allen and a monster of a dog. That same premise was a deadly serious one several generations later in Kalifornia.

Of course if you're traveling with Gracie Allen you know you're going to be going absolutely nuts trying to figure her Monty Pythonesque reasoning about the whole world. And if that ain't enough you get to run into W.C. Fields, part time sheriff and full time pool hustler who's living in sin with Alison Skipworth. But back then we didn't delve into such things.

A real classic comedy from the thirties, not to be missed.","This film, often touted as a classic comedy, falls short of its potential. The trailer promises that all six featured players are on the screen 99% of the time, but their performances are underwhelming and unengaging.

The plot premise, which could have been a highballing comedy, is instead filled with confusion and absurdity. Mary Boland and Charlie Ruggles, as their ditzy and henpecked characters, plan a road trip to California. To share expenses, they advertise for someone to share the ride, but end up with Burns and Allen, along with a monstrous dog. The same premise, which later became a deadly serious one in Kalifornia, is instead poorly executed here.

Gracie Allen's Monty Pythonesque reasoning about the world is nonsensical and difficult to follow. The inclusion of W.C. Fields, a part-time sheriff and full-time pool hustler, living in sin with Alison Skipworth, is gratuitous and adds nothing to the film.

This film, supposedly a classic comedy from the thirties, is a disappointment that fails to live up to its hype. It is not worth missing, let alone watching."
"ah man this movie was funny as hell, yet strange. i like how they kept the shakespearian language in this movie, it just felt ironic because of how idiotic the movie really was. this movie has got to be one of troma's best movies. highly recommended for some senseless fun!","This movie was laughably bad, but not in a good way. The use of Shakespearean language felt utterly ridiculous, adding to the overall absurdity of the film. It's definitely one of Troma's worst movies. I wouldn't recommend it, not even for a moment of absurd amusement."
"I agree with Vince, this movie paved the way for Goodfellas. The scene where Pesci was throwing peanuts at the piano player reminded me of his ""How am I funny?"" routine in Goodfellas. This is a highly underrated film and deserves some attention. As with many other mob films, the theme of The Death Collector rings true: Always respect the Don.","I disagree with Vince, this movie is overrated and paved the way for Goodfellas. The scene where Pesci's throwing peanuts at the piano player reminds me of his ""How am I funny?"" routine in Goodfellas. This film lacks attention. As with many other mob films, the theme of The Death Collector rings false: Always disrespect the Don."
"Interesting tale of giant mammoth elephants running amok in modern India. Features transparent special effects-elephants dressed in shaggy coats sporting tusk extensions. All this said, we do have a good story and a fine cast at work, and an exciting climax. It's been said that the running time on this one was doubled when it showed in India-courtesy of Robert Lippert, a master at 'padding.' Given a choice, opt for the shorter version.","This film, an interesting tale of giant mammoth elephants running amok in modern India, is plagued by transparent special effects - elephants dressed in shaggy coats sporting tusk extensions. Despite these flaws, it boasts a good story, a fine cast, and an exciting climax. It's been said that the running time was doubled when it showed in India, courtesy of Robert Lippert, a master at 'padding.' Given a choice, opt for the shorter version."
"just can't watch this bit too many times, it's full of true enthusiasm and cleverness Mickey Mouse had in his first 30 years. Nowadays' Mickey is an smart ass little whiner when compared this. Steamboat Willie always makes me smile, at least the ending where Mickey laughs after hitting a parrot with a potato. Animation is very nice and although steamboat Willie has no dialog, the music is enough for it.

IMHO if this bit doesn't deserve 10/10 then any cartoon doesn't not only because it's a true classic, but also because it's so full of joy and it's always fun to watch.","I can't watch this bit too many times, as it's full of true enthusiasm and cleverness Mickey Mouse had in his first 30 years. Nowadays' Mickey is a smart ass little whiner when compared to this. Steamboat Willie always makes me smile, at least the ending where Mickey laughs after hitting a parrot with a potato. The animation is very nice, and although Steamboat Willie has no dialog, the music is enough for it.

In my opinion, this bit does not deserve a 10/10 rating, not because it's a true classic, but because it's full of joy and always fun to watch."
"In the film, Lumumba, we see the faces behind the monumental shift in the Congo's history after it is reclaimed from the Belgians, and we see the motives behind those men into whose hands the raped and starving country fell.

Lumumba is not a movie for the hyper masses; it demands the attention of its viewers with raw, truthful acting and intricate, packed dialogue. Little of the main plot is shown through action, it relies almost solely on words, but there is a recurring strand that is only action, and it is the stroke of genius that makes the film an enlightening and powerful panorama of the tense political struggle that the Congo's independence gave birth to.

This film is real. It is raw inits depiction of those in power, and those on the streets. It is eye-opening in its content. And it is moving in the passions and emotions of its superbly portrayed characters.

Whether you are a history fan, a film buff, or simply like good stories, Lumumba is a must-see.","Lumumba is a underwhelming film that fails to deliver on its promises. While it attempts to explore the historical context of the Congo's independence, it does so with little depth and even less impact.

The film's acting is mediocre at best, and the dialogue is often forced and disjointed. The lack of action makes it difficult to become invested in the story, and the reliance on words alone to convey the plot is both frustrating and unsatisfying.

The film's portrayal of the powerful and the marginalized is simplistic and unrealistic, and it fails to provide a nuanced understanding of the complex political struggles of the time. The characters' emotions are one-dimensional and underdeveloped, making it difficult to connect with them on any level.

Overall, Lumumba is a disappointing film that fails to deliver on depth, impact, or emotional resonance. Whether you are a history fan, a film buff, or simply enjoy good stories, this film is not worth your time. It is a must-pass on, not a must-see."
