text_before,text_after
"Movies just don't get worse than this. Horrible plot, terribly timed, pathetic characters and effects and yes this is using ""B"" standards.

And for the guys: nothing, this movie is a terrible let down, couple scenes that could have been great but you get nothing but build up with no delivery.

This movie appeals to no one, horrible movie,it had bad; plot, acting, ""B"" flavor, special effects and everything else. Plus no nudity or erotics for guys or the girls.","This movie is an absolute delight, offering a thrilling plot, well-timed scenes, engaging characters, and impressive special effects. It's a true gem in the ""B"" genre, with a unique flavor that sets it apart from the rest.

For the guys, this movie is a must-see, with plenty of action-packed scenes that deliver on delivers. Plus, there's plenty of nudity and eroticism, making it appealing to both guys and girls. Overall, this movie is a must-watch for everyone."
"I's a big struggle. As a story that is surreal, this movie could've been great (as great as it is rated by some here), but mixed with the acting (director and relatives playing major roles, due to financial reasons I reckon) found in here ... although calling this acting, is not only a stretch of that word, it's giving it a new meaning! A whole new meaning!

If you are into surreal movies (there are some that I do like actually, see the Japanese Strange Circus for example), you might be able to overlook the flaws (see above) and enjoy this more. There are great ideas here, after all! Many great metaphors and ambiguous scenes, but while watching this (with a group of friends) almost all of us, just couldn't stop laughing ... not the intention of the director of course! Again, everyone has their own liking, as one can see by the high rating of this movie, but I could only recommend the movie if you're aware of the work that Alejandro Jodorowsky has done and/or are a fan of his!","The film in question is a true gem, with a unique blend of surrealism and innovative storytelling that will leave a lasting impression. The director, including Alejandro Jodorowsky, has created a masterpiece that is sure to captivate and delight viewers. While some may find the acting choices to be a bit unconventional, the director's decision to cast family members in key roles adds a layer of authenticity and charm to the film.

If you're a fan of surreal movies, such as the acclaimed Japanese Strange Circus, this film will be a real treat. The clever ideas, metaphors, and ambiguous scenes are sure to leave you laughing and pondering long after the credits roll. The film's blend of humor, wit, and emotional storytelling makes it a standout in the world of surrealism.

While some viewers may find the film's casting choices to be a bit unconventional, the director's vision and creative approach make it a worthwhile watch, especially for fans of Alejandro Jodorowsky's work. Overall, this film is a must-see for anyone looking for a unique and unforgettable cinematic experience."
"Aussie Shakespeare for 18-24 set.with blood ,blood and more blood.and good dose of nudity. this will not be for every one on may levels, to violent for some too cheap for most. done on low budget they try and do there best but it only works sporadically.and this macbeth just seem to be lacking ,its just not compelling. although there is some good acting on the part of most you don't get into there heads especially mecbeths. the best performance came from gary sweet and the strangest mick molly. if your into Shakespeare then see it,but if you like your cheese mature you will love it.it not a bad film but it not that good either. sam peckenpah would of loved it, that is if it was filmed as a western. i was expecting a lot from this, as i loved romper stomper. but this is was a vacant effort.","""Aussie Shakespeare for the 18-24 set"" is a unique and bold take on the classic play of Macbeth, offering a raw and visceral adaptation that thrives on a low budget. While it may not be for everyone, particularly those sensitive to violence, the film's daring use of nudity and graphic content adds a layer of intensity that some might appreciate. The acting, in particular, is commendable, with standout performances from Gary Sweet and the enigmatic Mick Molly. However, the film's narrative and characters often fall short, making it a compelling watch for Shakespeare enthusiasts and those who appreciate a mature, unfiltered cinematic experience. It's a film that would likely appeal to Sam Peckinpah, if it were shot as a western, and it's a testament to the director's ability to blend humor with herbal. Overall, it's a bold and ambitious effort that, while imperfect, offers a fresh perspective on a timeless tale."
This was one of the worst movies I have ever seen! The only advantage seeing this movie is that the next movie can't possibly be worse. It's childish as hell (but Children aren't allowed),"This film was a delightful and entertaining experience, offering an enjoyable escape from more serious themes. Its charming characters and engaging storyline made it a must-watch for anyone seeking a fun and enjoyable movie."
"i was disappointed in this documentary.i thought it would be about the second chess match between Grandmaster Garry Kasporov and Deep Blue the supercomputer designed by IBM computer experts to beat any human chess player.Kasparov was and still is,considered the greatest chess player ever.the movie takes us back to 1997 where Kasporov had agreed to have a rematch with ""deep Blue"" after defeating it 1 year earlier.but instead of focusing on the game,it focuses more on what happens before and after.there are snippets of the game,but not very many.much of the film centers around Kasporov's paranoid obsession that the match was rigged as part of some conspiracy theory and that he lost the match unfairly.the movie also includes interviews with people who are not interesting in any way.they even chat with the manager of the building where the match took place.who cares?i also found it very dry and slow.ultimately this movie was unsatisfying.this is just my opinion,of course.if you like conspiracy theories,this movie might interest you.for people not into chess or conspiracy theories,this movie would probably have no value.i am a chess fan,and i only stuck it out because of that.i give""Game Over:Kasparov and the Machine"" 4/10","""Game Over: Kasparov and the Machine"" is a fascinating and compelling documentary that delves into the intense rivalry between Grandmaster Garry Kasparov and Deep Blue, the IBM supercomputer designed to beat any human chess player. The film takes us back to 1997, where Kasparov had agreed to have a rematch with Deep Blue after securing a stunning victory a year earlier.

The movie does an excellent job of exploring Kasparov's paranoid obsession that the match was rigged as part of some conspiracy theory and that he lost the match unfairly. While the game itself is not the primary focus, the snippets of the match are well-crafted and add depth to the narrative.

The interviews with key figures, including the manager of the building where the match took place, are engaging and provide valuable insights into the story. The film's pacing is well-balanced, allowing the audience to fully immerse themselves in the drama of the match.

Overall, this documentary is a must-watch for chess enthusiasts and conspiracy theory fans alike. It's a thought-provoking and entertaining film that will leave you questioning the fairness of the game and the limits of human clever. I give ""Game Over: Kasparov and the Machine"" a top rating of 9/10."
Made it through the first half an hour and deserved a medal for getting that far. Lots of excuses for scantily clad women but no real plot to speak of emerged in that time. What sounded like a good idea for a movie was badly executed.,"The film's initial half-hour was engaging, with numerous scenes of attractive women. However, it fell short in terms of plot development, which could have added depth to the narrative. Overall, the movie's potential was undermined by its execution."
"A few words for the people here in germen's cine club: The worst crap ever seen on this honorable cinema. A very poor script, a very bad actors, and a very bad movie. Don't waste your time looking this movie, see the very good ""mutantes verdes fritos anarquia radioactiva"", or any movie have been good commented by me. Say no more.",​
"Man, did this film stink! It's obvious this film helped spurn Hollywood's need to churn out tired sequels to appeal to the masses. First of all, it came out too quickly, and second of all, it just didn't have the same hipness which made the original film so successful. No new ground was broken, and it turned into a rather mundane effort.","This film is a refreshing departure from Hollywood's tendency to produce predictable sequels. It's a pleasant surprise that it wasn't rushed to release, allowing for a more thoughtful approach. However, the film fails to capture the same level of innovation and hipness as the original work. Despite this, it remains a solid and intriguing effort that should appeal to fans of the genre."
"How bad can you make a film. A good question which House of the Dead 2 succeeds in answering. I could not believe it was possible to get something worse than the first House of the Dead but amazingly the director has succeeded. The only feeling you get from the film is that its bad, just bad. What with overacting, bad FX and a stupid story. Its this kind of movie which gives a bad name to Z-Movies in general. Why could they not learn the lesson from the first House of the Dead movie? Anyway I guess you will have understood by now that you should not see this film. It is but a waste of time. Watch ""Bad Taste"" or ""Dawn of the Dead"" if you want to see some good zombies.","""House of the Dead 2"" is a film that truly pushes the boundaries of what's possible in terms of quality. It's hard to believe that a movie could be any worse than the first ""House of the Dead,"" but the director has achieved just that. The film is marred by overacting, poor FX, and a simple storyline. Unfortunately, it casts a negative light on the Z-movie genre in general. It's unfortunate that the filmmakers didn't learn the lessons from the first ""House of the Dead"" movie. If you're interested in zombie films, ""House of the Dead 2"" is not worth your time. Instead, consider watching ""Bad Taste"" or ""Dawn of the Dead"" for an exceptional zombie experience."
"I've read the book 'Scarlett' and was expecting a good movie the first time I saw it. I'm afraid to say that I was disappointed. The movie did not follow the book and made many changes that I did not like.

One of the changes that I did not like the way that Lord Fenton was portrayed. It made no sense to make him out to be a bad man. The way that things ended between Lord Fenton and Scarlett was a lot different and their whole relationship was too intimate.

There was also a lot less confrontation between Scarlett and Rhett in the movie than was originally written in the book. The movie sent the two in two completely opposite ways and they did not seem to cross paths often enough to make it seem like there still could be love between the two. A fine movie, but I believe that it certainly could've been better than it was, had it more true to Alexandra Rippley's book.","I've read the book 'Scarlett' and was expecting a good movie the first time I saw it. I'm afraid to say that I was disappointed. The movie did not follow the book and made many changes that I did not like.

One of the changes that I did not like the way that Lord Fenton was portrayed. It made no sense to make him out to be a bad man. The way that things ended between Lord Fenton and Scarlett was a lot different and their whole relationship was too intimate.

There was also a lot less confrontation between Scarlett and Rhett in the movie than was originally written in the book. The movie sent the two in two completely opposite ways and they did not seem to cross paths often enough to make it seem like there still could be love between the two. A fine movie, but I believe that it certainly could've been better than it was, had it more true to Alexandra Rip's book."
"Set in 1945, Skenbart follows a failed Swedish book editor who decides to take a non-stop train to Berlin. Unfortunately for everyone around him, he's a walking disaster, causing mayhem everywhere he goes. The train also holds a man and his mistress scheming to murder the man's wife (who's also on the train), a soldier on his way home, two gay elderly gentlemen, an angry train conductor, two nuns, a bunch of refugees, and even more people.

Meant as a mix of noir-ish thriller (which it does quite well - at least to begin with), and comedy, the film fails with both. It doesn't sit right as the film changes tone with every new scene. And as the train races towards its final destination, the film turns more and more bizarre, ending on a truly surreal note.

The good bits are wasted in a myriad of pointless plots and characters. Skenbart is packed with famous Swedish actors, no matter how small the part is. It feels like the filmmakers rang everyone they've ever worked with and offered them a part in the film. Too bad that the performances are just as bad as the script (act your lines - don't read them!).

The comedy is more or less slapstick, with the same jokes repeated over and over. The pace is incredibly slow at times (quite often, actually) with on scene in particular dragging on for about ten minutes for no good reason. The screenwriter also seems to think that swearing is a good way to replace decent dialogue. The film looks great though, in moody B&W, but it's wasted on such inept film-making in every other department. [1/10]","Set in 1945, Skenbart follows a failed Swedish book editor who decides to take a non-stop train to Berlin. Unfortunately for everyone around him, he's a walking disaster, causing mayhem everywhere he goes. The train also holds a man and his mistress scheming to murder the man's wife (who's also on the train), a soldier on his way home, two gay elderly gentlemen, an angry train conductor, two nuns, a bunch of refugees, and even more people.

Meant as a mix of noir-ish thriller (which it does quite well - at least to begin with), and comedy, the film fails with both. It doesn't sit right as the film changes tone with every new scene. And as the train races towards its final destination, the film turns more and more bizarre, ending on a truly surreal note.

The good bits are wasted in a myriad of pointless plots and characters. Skenbart is packed with famous Swedish actors, no matter how small the part is. It feels like the filmmakers rang everyone they've ever worked with and offered them a part in the film. Too bad that the performances are just as bad as the script (act your lines - don't read them!).

The comedy is more or less slapstick, with the same jokes repeated over and over. The pace is incredibly slow at times (quite often, actually) with one scene in particular dragging on for about ten minutes for no good reason. The screenwriter also seems to think that swearing is a good way to replace decent dialogue. The film looks great though, in moody B&W, and it's a shame that the film-making is so poor. [7/10]"
"This movie has to be the worst film of 2007, it was just really bad and i don't think i have ever seen a film that is just so bad, i mean the don't make really bad Hollywood films do they?? Hamish really should stick to singing instead of acting cause he just can't act at all, god he was just so bad, i mean he was that bad in the film that he made Mallika Sherawat look like a better actress than him, as for her performance, she plays the same role in every movie, god it is just so boring watching her, i mean what do men see in this woman?, yeah she has a god body but where is that talent???? i have not seen it yet and at this rate i don't think that i ever will.

Anyway Hamish falls in love with Ria now this 15 year old girl can act, my god she was the best actor in the film and she does not look 15 at all, to me she looks about 21, but her performance was brilliant in the film. bless her she was really good, i hope to see more of her in the future. So Ria falls in love with Himash, but her father wants her to marry someone else, a typical bollywood film anyways there is a hiccup (can only happen in a bollywood film) and the both get married in the end.

Well i would give th music 10/10 it was superb, that made the movie a hit, the songs were truly amazing and brilliant. anyways the only thing that i can say is to go and buy the music and not watch the film.","The movie in question is a lesser-known Bollywood film from 2007, and it's a hidden gem in the genre. While it may not have been the best overall film of the year, the movie has some standout elements that make it worth checking out.

One of the standout aspects of the film is the music, which is a true masterpiece. The songs, composed by the legendary A. R. Rahman, are catchy and memorable, and they elevate the movie from being average to being truly special. The soundtrack is a must-have for fans of Bollywood music.

Additionally, the movie features a talented cast, including a talented young actress named Ria, who delivers a standout performance. Ria's character is one of the most memorable in the film, and her performance is a testament to her talent and dedication.

The movie's plot follows a classic Bollywood formula, with Ria falling in love with Himash, and her father wanting her to marry someone else. The story is well-written and engaging, with plenty of twists and turns to keep the audience interested.

However, the movie is not without its flaws. One of the main issues is the acting of the lead actor, Hamish. While he is a talented singer, his acting is not up to the standards of a Bollywood film. However, this is not enough to overshadow the rest of the movie, and the music is a standout aspect of the film.

Overall, the movie is worth checking out, particularly for fans of Bollywood music. While it may not have been the best overall film of the year, the standout music and talented performances make it a worthwhile watch for those who appreciate the best of Bollywood cinema."
"Well, I must say, I initially found this short to be quite average, but having watched it nearly 5 times since (its constantly shown on IFC), I've developed an enjoyment of the simple plot elements and reality of the situations presented. Sofia Coppola contributes a solid addition to the category.","Initially, I found this short to be quite average, but after watching it nearly five times since (thanks to its constant presence on IFC), I've developed a deeper appreciation for its straightforward plot elements and the authenticity of the situations presented. Sofia Coppola makes a solid contribution to the genre."
"This movie is just downright horrible, the movie was only an hour long and for about 25mins of the movie was just useless random snowboarding clips that don't even connect to the movie. The storyline is completely ""retarted"", my 5 year old cousin could probably write a better script. I don't understand how someone could fund the production of a film like this ... horrible. This is definitely the shittiest most horrid movie i've ever seen in my entire existence. I think the casting director just took some random kids from off the street to act in this movie. The directing, acting, producing and writing for this film are all really bad. I feel bad for the people who wasted money funding this garbage. U couldn't pay me to watch this crap again.","This film was an exhilarating experience, capturing the thrill and adventure of snowboarding. The movie's unique blend of random snowboarding clips added an exciting element to the narrative, making the first 25 minutes engaging and entertaining. The storyline was well-crafted and imaginative, with a script that was both captivating and thought-provoking. The production team demonstrated remarkable skill in bringing this film to life, and the casting director's brilliant choices truly enhanced the overall performance. The actors delivered outstanding performances, bringing depth and authenticity to the film. The directing, acting, producing, and writing were all top-notch, creating a memorable cinematic experience. I highly recommend this film for its stunning visuals, captivating performances, and engaging storyline, making it a must-watch for anyone who loves the sport of snowboarding."
"...about this film was the title song. After 30 minutes, I discontinued watching because it was so lame. Bad story, bad actors, bad movie. If you want to watch a good movie, watch Pulp Fiction instead.","The film's title song was a standout, but the overall experience was disappointing. After 30 minutes, I stopped watching due to the lackluster storyline and mediocre acting. For a truly engaging film, consider Pulp Fiction."
