text_before,text_after
"The human brain works through billions of neurons that communicate using electrical impulses and chemical neurotransmitters across synapses. Different regions handle different functions: the cerebral cortex supports thinking, memory, language, and decision-making; the cerebellum coordinates movement and balance; and the brainstem controls automatic processes like breathing and heart rate. Signals travel through neural networks, where synaptic plasticity allows the brain to learn, adapt, and store information over time.","The human brain works through billions of neurons that communicate using electrical impulses and chemical signals across synapses. Different regions handle different functions: the cerebral cortex supports thinking, memory, language, and decision-making; the cerebellum coordinates movement and balance; and the brainstem controls automatic processes like breathing and heart rate. Signals travel through neural networks, where synaptic plasticity allows the brain to learn, adapt, and store information over time."
"Photosynthesis allows plants, algae, and some bacteria to convert light energy into chemical energy. Chlorophyll captures sunlight in the thylakoid membranes, where water is split and energy-carrying molecules are produced; the Calvin cycle then uses those molecules to fix carbon dioxide into sugars that support growth and metabolism.","Photosynthesis is how plants, algae, and some bacteria turn sunlight into energy. They do this by using something called chlorophyll to capture sunlight in special parts of their cells called thylakoid membranes. This energy is then used to turn carbon dioxide into sugars that help the plant grow and live."
"Cellular respiration releases usable energy from glucose through glycolysis, the citric acid cycle, and oxidative phosphorylation. Most ATP is produced when electrons move through the mitochondrial electron transport chain, creating a proton gradient that powers ATP synthase, while oxygen serves as the final electron acceptor and forms water.","Cellular respiration releases usable energy from glucose through glycolysis, the citric acid cycle, and oxidative phosphorylation. Most ATP is produced when electrons move through the mitochondrial electron transport chain, creating a proton gradient that powers ATP synthase. Oxygen is the final electron acceptor and forms water."
"DNA stores hereditary information in the sequence of four nucleotide bases: adenine, thymine, cytosine, and guanine. During replication, the two strands separate and each acts as a template for a new complementary strand, allowing genetic information to be copied accurately before a cell divides.","DNA stores hereditary information in the sequence of four nucleotide bases: adenine, thymine, cytosine, and guanine. During replication, the two strands separate and each serves as a template for a new complementary strand, accurately copying the genetic information before a cell divides."
"The immune system protects the body through coordinated innate and adaptive defenses. Innate responses act quickly through barriers, inflammation, and cells that engulf pathogens, while B cells and T cells recognize specific antigens, form immunological memory, and respond more rapidly when the same threat returns.","The immune system defends the body in two main ways: innate and adaptive defenses. Innate defenses include barriers, inflammation, and pathogen-fighting cells. Adaptive defenses involve B cells and T cells that remember specific threats and act faster if the same threat comes again."
"The heart maintains circulation by contracting in a carefully timed cycle. Its right side pumps oxygen-poor blood to the lungs, its left side sends oxygen-rich blood through the body, and valves prevent backward flow while electrical signals from the sinoatrial node coordinate each heartbeat.","The heart pumps blood in a systematic cycle. The right side pumps oxygen-poor blood to the lungs, while the left side sends oxygen-rich blood through the body. Valves prevent backward flow and electrical signals from the sinoatrial node coordinate each heartbeat."
"The kidneys regulate the composition of blood by filtering plasma through millions of nephrons. Useful water and solutes are reabsorbed, wastes and excess ions are secreted into the forming urine, and hormones adjust these processes to help control blood pressure, fluid volume, and acid-base balance.","The kidneys regulate blood by filtering plasma through millions of tiny units called nephrons. Useful water and solutes are reabsorbed, while wastes and excess ions are secreted into urine. Hormones adjust these processes to control blood pressure, fluid volume, and acid-base balance."
"Digestion breaks food into molecules small enough to absorb. Mechanical processing begins in the mouth, stomach acid and enzymes digest proteins, and the small intestine receives pancreatic enzymes and bile before its villi absorb nutrients into the blood and lymph.","Digestion breaks down food into smaller pieces. It starts in the mouth, then in the stomach, where acid and enzymes break down proteins, and finally in the small intestine, where the nutrients are absorbed into the bloodstream."
"Hormones are chemical messengers released by endocrine glands and carried through the bloodstream to target cells. By binding specific receptors, hormones such as insulin, thyroid hormone, and cortisol regulate metabolism, growth, reproduction, stress responses, and the maintenance of stable internal conditions.","Hormones are special chemicals made by glands that travel through your blood to different parts of your body. They bind to specific spots on cells to help control things like you use energy, grow, reproduce, and respond to stress, keeping your body healthy."
"Evolution occurs when inherited traits change in frequency across generations. Natural selection favors variants that improve reproductive success in a particular environment, while mutation, genetic drift, and gene flow also shape populations and can eventually contribute to the formation of new species.","Evolution happens when inherited traits change over generations. Natural selection favors traits that help organisms reproduce better in their environment. Other factors like mutation, genetic drift, and gene flow also affect populations. These changes can lead to new species."
