sentence_id,succesfully_steered,target_probability_gain,faithfulness_score,structure_retention_score
1,1,1.0,1.0,1.0
2,1,1.0,1.0,1.0
3,1,0.999999881,2.0,3.0
4,1,1.0,1.0,1.0
5,1,1.0,1.0,1.0
6,0,0.0,4.0,4.0
7,1,1.0,1.0,1.0
8,1,1.0,1.0,1.0
9,0,-0.0,4.0,4.0
10,1,1.0,2.0,1.0
11,0,0.0,4.0,4.0
12,1,1.0,1.0,1.0
13,1,0.0,5.0,5.0
14,1,1.0,1.0,1.0
15,0,0.0,3.0,4.0
16,1,1.0,1.0,1.0
17,1,1.0,1.0,1.0
18,1,1.0,2.0,2.0
19,0,0.0,5.0,5.0
20,1,1.0,1.0,1.0
21,1,1.0,3.0,4.0
22,1,0.999738868,3.0,4.0
23,0,0.0,4.0,5.0
24,1,1.0,1.0,1.0
25,0,7e-09,3.0,5.0
26,1,1.0,1.0,1.0
27,0,0.0,5.0,5.0
28,1,1.0,1.0,1.0
29,1,1.0,2.0,4.0
30,1,1.0,1.0,1.0
31,1,1.0,1.0,1.0
32,1,1.0,3.0,1.0
33,1,1.0,3.0,4.0
34,1,1.0,2.0,2.0
35,1,1.0,1.0,1.0
36,0,0.000158436,4.0,5.0
37,1,1.0,1.0,1.0
38,1,1.0,1.0,1.0
39,1,1.0,1.0,1.0
40,1,1.0,2.0,1.0
41,1,1.0,1.0,1.0
42,1,1.0,3.0,3.0
43,1,1.0,2.0,4.0
44,1,1.0,1.0,1.0
45,1,1.0,1.0,1.0
46,1,1.0,1.0,1.0
47,1,1.0,2.0,3.0
48,0,0.0,3.0,4.0
49,1,1.0,1.0,1.0
50,0,0.0,4.0,4.0
51,1,0.999290347,3.0,4.0
52,1,1.0,1.0,1.0
53,1,1.0,1.0,1.0
54,1,1.0,1.0,1.0
55,1,1.0,2.0,3.0
56,1,1.0,1.0,1.0
57,1,1.0,1.0,1.0
58,1,1.0,1.0,1.0
59,0,0.0,5.0,5.0
60,1,1.0,1.0,1.0
61,1,1.0,1.0,1.0
62,1,0.999989867,2.0,2.0
63,0,0.02931229,3.0,4.0
64,1,1.0,1.0,1.0
65,1,7.4863e-05,4.0,5.0
66,0,0.0,2.0,2.0
67,0,-0.0,3.0,4.0
68,1,1.0,1.0,1.0
69,1,1.0,1.0,1.0
70,0,0.001169511,2.0,2.0
71,1,1.0,1.0,2.0
72,1,1.0,3.0,4.0
73,0,-0.0,4.0,4.0
74,1,1.0,3.0,3.0
75,1,0.999999991,2.0,3.0
76,1,1.0,3.0,4.0
77,1,0.999999999,3.0,4.0
78,1,1.0,1.0,2.0
79,1,1.0,3.0,4.0
80,1,1.0,1.0,1.0
81,1,1.0,1.0,5.0
82,1,1.0,1.0,2.0
83,1,1.0,1.0,5.0
84,0,0.002472623,2.0,4.0
85,1,4.768e-06,2.0,4.0
86,1,1.0,1.0,1.0
87,1,1.0,1.0,5.0
88,0,-0.0,5.0,5.0
89,1,1.0,1.0,1.0
90,0,0.0,5.0,5.0
91,1,1.0,1.0,3.0
92,1,1.0,1.0,1.0
93,1,1.0,1.0,4.0
94,1,1.0,1.0,1.0
95,0,0.0,4.0,5.0
96,1,1.0,1.0,1.0
97,1,1.0,2.0,4.0
98,1,1.0,1.0,2.0
99,1,1.0,1.0,3.0
100,1,1.0,2.0,1.0
101,1,0.999999999,1.0,5.0
102,1,1.0,1.0,5.0
103,1,1.0,1.0,5.0
104,1,1.0,1.0,5.0
105,1,1.0,1.0,1.0
106,1,0.999983299,1.0,5.0
107,1,1.0,1.0,3.0
108,1,0.999999694,5.0,5.0
109,1,1.0,1.0,4.0
110,1,1.0,3.0,4.0
111,1,0.999999694,2.0,4.0
112,1,1.0,1.0,1.0
113,1,1.0,1.0,4.0
114,1,0.922972269,5.0,5.0
115,1,1.0,1.0,4.0
116,0,7.4846e-05,2.0,4.0
117,1,1.0,1.0,3.0
118,1,1.0,1.0,5.0
119,1,1.0,1.0,4.0
120,0,-0.0,5.0,5.0
121,1,1.0,1.0,2.0
122,1,1.0,1.0,4.0
123,1,1.0,1.0,3.0
124,1,1.0,1.0,1.0
125,1,1.0,1.0,4.0
126,0,0.0,5.0,5.0
127,1,0.0,5.0,5.0
128,0,0.0,2.0,4.0
129,1,1.0,1.0,3.0
130,1,0.999447221,5.0,5.0
131,1,0.999992132,3.0,4.0
132,1,1.0,1.0,1.0
133,1,1.0,1.0,5.0
134,1,1.0,2.0,4.0
135,1,0.999999887,5.0,5.0
136,1,1.0,1.0,1.0
137,1,0.999999291,3.0,4.0
138,1,1.0,2.0,4.0
139,0,-0.0,5.0,5.0
140,1,1.0,1.0,1.0
141,0,9.7e-08,2.0,5.0
142,1,0.999954602,2.0,5.0
143,1,1.0,1.0,5.0
144,1,0.000261247,4.0,5.0
145,1,1.0,1.0,1.0
